Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704497659,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.3579216003418,45.41524887084961,15.01636028289795,8.81561279296875,5.09323787689209,3.513158082962036,2.9702939987182617,1.5811296701431274,1.1064746379852295,0.9471188187599182,11.299152374267578,34359738368,0,10185179136,0
102,1697704497659,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.3579216003418,45.41526412963867,15.016359329223633,8.815610885620117,5.093236446380615,3.513157844543457,2.9702932834625244,1.5811294317245483,1.10647451877594,0.9471185207366943,11.299152374267578,34359738368,0,10186129408,0
103,1697704497763,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.35796356201172,45.41529083251953,15.016349792480469,8.815598487854004,5.0932297706604,3.513152599334717,2.970289468765259,1.5811270475387573,1.1064729690551758,0.947117269039154,11.299152374267578,34359738368,0,10187145216,0
104,1697704497867,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.35799789428711,45.415287017822266,15.01633071899414,8.815587043762207,5.0932230949401855,3.513148069381714,2.970285177230835,1.581125020980835,1.1064714193344116,0.947115957736969,11.173368453979492,34359738368,0,10186227712,0
104,1697704497972,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.358028411865234,45.41527557373047,15.016308784484863,8.815573692321777,5.0932159423828125,3.5131428241729736,2.9702811241149902,1.5811227560043335,1.106469988822937,0.9471146464347839,11.173368453979492,34359738368,0,10185277440,0
99,1697704498077,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.3580322265625,45.41529846191406,15.016288757324219,8.815563201904297,5.093209266662598,3.5131382942199707,2.9702770709991455,1.5811207294464111,1.1064684391021729,0.9471133351325989,11.173368453979492,34359738368,0,10186424320,0
101,1697704498178,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.35807800292969,45.41529846191406,15.01626968383789,8.815550804138184,5.093202590942383,3.5131335258483887,2.970273017883301,1.5811185836791992,1.1064670085906982,0.9471120238304138,11.173368453979492,34359738368,0,10187489280,0
102,1697704498280,0,0,0,0,0,0,0,0,0,0,46.20487976074219,43.742576599121094,42.78471374511719,46.27125930786133,44.212738037109375,42.709739685058594,40.44781494140625,40.513526916503906,43.417728424072266,41.71484375,46.358097076416016,45.415321350097656,15.016274452209473,8.815539360046387,5.093194961547852,3.5131289958953857,2.970269203186035,1.5811161994934082,1.106465458869934,0.9471108317375183,11.173368453979492,34359738368,0,10188472320,0
101,1697704498384,0,0,0,0,0,0,0,0,0,0,45.99895477294922,43.556312561035156,43.057533264160156,46.17124557495117,44.266632080078125,42.76863098144531,40.58837890625,40.413124084472656,43.07295227050781,42.09479522705078,46.35812759399414,45.415340423583984,15.016253471374512,8.81552791595459,5.093188285827637,3.5131237506866455,2.9702651500701904,1.5811141729354858,1.10646390914917,0.947109580039978,11.173368453979492,34359738368,0,10189406208,0
101,1697704498486,0,0,0,0,0,0,0,0,0,0,45.99895477294922,43.556312561035156,43.057533264160156,46.17124557495117,44.266632080078125,42.76863098144531,40.58837890625,40.413124084472656,43.07295227050781,42.09479522705078,46.358158111572266,45.415367126464844,15.01624584197998,8.815515518188477,5.093181610107422,3.5131194591522217,2.970261335372925,1.5811121463775635,1.1064624786376953,0.9471083283424377,11.173368453979492,34359738368,0,10190520320,0
