Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697708522060,1480.5426177978516,4700,1,0.30000000000000004,1168.0672149658203,4700,1,0.30000000000000004,2364.8053588867188,4700,1,0.30000000000000004,1574.4785919189453,4700,1,0.30000000000000004,2152.413116455078,4700,1,0.30000000000000004,1518.5473175048828,4700,1,0.30000000000000004,1431.6849517822266,4700,1,0.30000000000000004,1909.4541015625,4700,1,0.30000000000000004,1678.825668334961,4700,1,0.30000000000000004,1714.5012969970703,4700,1,0.30000000000000004,1720.1815490722656,4700,1,0.30000000000000004,1413.3632202148438,4700,1,0.30000000000000004,2941042.2986450195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6318256128,0
99,1697708522060,1480.543197631836,4700,1,0.30000000000000004,1168.0673065185547,4700,1,0.30000000000000004,2364.805435180664,4700,1,0.30000000000000004,1574.47900390625,4700,1,0.30000000000000004,2152.413314819336,4700,1,0.30000000000000004,1518.5475158691406,4700,1,0.30000000000000004,1431.6934814453125,4700,1,0.30000000000000004,1909.4624481201172,4700,1,0.30000000000000004,1678.8257598876953,4700,1,0.30000000000000004,1714.5013732910156,4700,1,0.30000000000000004,1720.182113647461,4700,1,0.30000000000000004,1413.3778686523438,4700,1,0.30000000000000004,2941042.439727783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6318256128,0
99,1697708522161,1480.5733184814453,4700,1,0.30000000000000004,1168.088134765625,4700,1,0.30000000000000004,2364.954788208008,4700,1,0.30000000000000004,1574.49755859375,4700,1,0.30000000000000004,2152.428726196289,4700,1,0.30000000000000004,1518.7530517578125,4700,1,0.30000000000000004,1431.7143249511719,4700,1,0.30000000000000004,1909.6780548095703,4700,1,0.30000000000000004,1678.942153930664,4700,1,0.30000000000000004,1714.513168334961,4700,1,0.30000000000000004,1720.2138061523438,4700,1,0.30000000000000004,1413.4778594970703,4700,1,0.30000000000000004,2941046.7055511475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6360584192,0
99,1697708522261,1480.7645416259766,4700,1,0.30000000000000004,1168.2866973876953,4700,1,0.30000000000000004,2365.4734954833984,4700,1,0.30000000000000004,1574.6683044433594,4700,1,0.30000000000000004,2152.5859985351563,4700,1,0.30000000000000004,1518.8970489501953,4700,1,0.30000000000000004,1431.8966064453125,4700,1,0.30000000000000004,1909.7614440917969,4700,1,0.30000000000000004,1679.0391387939453,4700,1,0.30000000000000004,1714.9499053955078,4700,1,0.30000000000000004,1720.3725280761719,4700,1,0.30000000000000004,1413.9947814941406,4700,1,0.30000000000000004,2941052.594482422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6443163648,0
99,1697708522361,1480.8634185791016,4700,1,0.30000000000000004,1168.4377899169922,4700,1,0.30000000000000004,2365.822540283203,4700,1,0.30000000000000004,1574.7231750488281,4700,1,0.30000000000000004,2152.625198364258,4700,1,0.30000000000000004,1519.0275421142578,4700,1,0.30000000000000004,1431.9932250976563,4700,1,0.30000000000000004,1909.8414154052734,4700,1,0.30000000000000004,1679.1296844482422,4700,1,0.30000000000000004,1715.8312225341797,4700,1,0.30000000000000004,1720.5546112060547,4700,1,0.30000000000000004,1414.3384094238281,4700,1,0.30000000000000004,2941058.122741699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6473154560,0
99,1697708522461,1480.8882141113281,4700,1,0.30000000000000004,1169.1011352539063,4700,1,0.30000000000000004,2365.9562225341797,4700,1,0.30000000000000004,1574.7342681884766,4700,1,0.30000000000000004,2152.6604766845703,4700,1,0.30000000000000004,1519.080322265625,4700,1,0.30000000000000004,1432.0513305664063,4700,1,0.30000000000000004,1909.90966796875,4700,1,0.30000000000000004,1679.290054321289,4700,1,0.30000000000000004,1716.0128631591797,4700,1,0.30000000000000004,1720.7261505126953,4700,1,0.30000000000000004,1414.43701171875,4700,1,0.30000000000000004,2941062.931289673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6485155840,0
99,1697708522561,1480.8929290771484,4700,1,0.30000000000000004,1169.2602844238281,4700,1,0.30000000000000004,2366.075225830078,4700,1,0.30000000000000004,1574.7475128173828,4700,1,0.30000000000000004,2152.7332305908203,4700,1,0.30000000000000004,1519.2093353271484,4700,1,0.30000000000000004,1432.1442108154297,4700,1,0.30000000000000004,1909.9866638183594,4700,1,0.30000000000000004,1679.6567993164063,4700,1,0.30000000000000004,1716.1139221191406,4700,1,0.30000000000000004,1720.8561401367188,4700,1,0.30000000000000004,1414.5992889404297,4700,1,0.30000000000000004,2941067.3720855713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6520246272,0
99,1697708522661,1480.8970184326172,4700,1,0.29374999999999996,1169.3405151367188,4700,1,0.29374999999999996,2366.1595306396484,4700,1,0.29374999999999996,1574.750747680664,4700,1,0.29374999999999996,2152.736557006836,4700,1,0.29374999999999996,1519.2124328613281,4700,1,0.29374999999999996,1432.1474609375,4700,1,0.29374999999999996,1909.989761352539,4700,1,0.29374999999999996,1679.6856231689453,4700,1,0.29374999999999996,1716.1668243408203,4700,1,0.29374999999999996,1720.8887786865234,4700,1,0.29374999999999996,1414.6782684326172,4700,1,0.29374999999999996,2941070.897415161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6521016320,0
99,1697708522761,1480.9010620117188,4700,1,0.29374999999999996,1169.3816528320313,4700,1,0.30000000000000004,2366.226348876953,4700,1,0.30000000000000004,1574.7563781738281,4700,1,0.30000000000000004,2152.7396545410156,4700,1,0.30000000000000004,1519.2158508300781,4700,1,0.30000000000000004,1432.1505584716797,4700,1,0.30000000000000004,1909.9930725097656,4700,1,0.30000000000000004,1679.7223663330078,4700,1,0.30000000000000004,1716.2165832519531,4700,1,0.30000000000000004,1720.9120483398438,4700,1,0.30000000000000004,1414.7202758789063,4700,1,0.30000000000000004,2941074.428009033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6521266176,0
99,1697708522861,1480.9036254882813,4700,1,0.30000000000000004,1169.3874206542969,4700,1,0.30000000000000004,2366.2559356689453,4700,1,0.30000000000000004,1574.7585144042969,4700,1,0.30000000000000004,2152.7417907714844,4700,1,0.30000000000000004,1519.2179870605469,4700,1,0.30000000000000004,1432.1526947021484,4700,1,0.30000000000000004,1909.9955291748047,4700,1,0.30000000000000004,1679.7333068847656,4700,1,0.30000000000000004,1716.2309875488281,4700,1,0.30000000000000004,1720.9153747558594,4700,1,0.30000000000000004,1414.747299194336,4700,1,0.30000000000000004,2941077.1205596924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6521409536,0
