Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CORE10_ENERGY (J),CORE10_FREQ (MHZ),CORE10_PSTATE,CORE10_VOLT (V),CORE11_ENERGY (J),CORE11_FREQ (MHZ),CORE11_PSTATE,CORE11_VOLT (V),CORE1_ENERGY (J),CORE1_FREQ (MHZ),CORE1_PSTATE,CORE1_VOLT (V),CORE2_ENERGY (J),CORE2_FREQ (MHZ),CORE2_PSTATE,CORE2_VOLT (V),CORE3_ENERGY (J),CORE3_FREQ (MHZ),CORE3_PSTATE,CORE3_VOLT (V),CORE4_ENERGY (J),CORE4_FREQ (MHZ),CORE4_PSTATE,CORE4_VOLT (V),CORE5_ENERGY (J),CORE5_FREQ (MHZ),CORE5_PSTATE,CORE5_VOLT (V),CORE6_ENERGY (J),CORE6_FREQ (MHZ),CORE6_PSTATE,CORE6_VOLT (V),CORE7_ENERGY (J),CORE7_FREQ (MHZ),CORE7_PSTATE,CORE7_VOLT (V),CORE8_ENERGY (J),CORE8_FREQ (MHZ),CORE8_PSTATE,CORE8_VOLT (V),CORE9_ENERGY (J),CORE9_FREQ (MHZ),CORE9_PSTATE,CORE9_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_20,CPU_FREQUENCY_21,CPU_FREQUENCY_22,CPU_FREQUENCY_23,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_20,CPU_USAGE_21,CPU_USAGE_22,CPU_USAGE_23,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697707860790,1441.654281616211,4700,1,0.30000000000000004,1106.5457153320313,4700,1,0.30000000000000004,2304.875946044922,4700,1,0.30000000000000004,1547.0813598632813,4700,1,0.30000000000000004,2126.2454833984375,4700,1,0.30000000000000004,1490.0745239257813,4700,1,0.30000000000000004,1403.5699920654297,4700,1,0.30000000000000004,1881.1934204101563,4700,1,0.30000000000000004,1639.2204284667969,4700,1,0.30000000000000004,1677.0290069580078,4700,1,0.30000000000000004,1690.0177612304688,4700,1,0.30000000000000004,1384.1952514648438,4700,1,0.30000000000000004,2926621.5639953613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707860791,1441.6544647216797,4700,1,0.30000000000000004,1106.560302734375,4700,1,0.30000000000000004,2304.8760375976563,4700,1,0.30000000000000004,1547.081527709961,4700,1,0.30000000000000004,2126.245651245117,4700,1,0.30000000000000004,1490.074691772461,4700,1,0.30000000000000004,1403.5701293945313,4700,1,0.30000000000000004,1881.1935577392578,4700,1,0.30000000000000004,1639.2205200195313,4700,1,0.30000000000000004,1677.0290985107422,4700,1,0.30000000000000004,1690.0178527832031,4700,1,0.30000000000000004,1384.1953430175781,4700,1,0.30000000000000004,2926621.6722869873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707860891,1441.6558227539063,4700,1,0.30000000000000004,1106.5783233642578,4700,1,0.30000000000000004,2304.8776092529297,4700,1,0.30000000000000004,1547.0828399658203,4700,1,0.30000000000000004,2126.2469635009766,4700,1,0.30000000000000004,1490.0764465332031,4700,1,0.30000000000000004,1403.5714416503906,4700,1,0.30000000000000004,1881.1948699951172,4700,1,0.30000000000000004,1639.2232360839844,4700,1,0.30000000000000004,1677.0297393798828,4700,1,0.30000000000000004,1690.0184936523438,4700,1,0.30000000000000004,1384.1959838867188,4700,1,0.30000000000000004,2926623.84274292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707860992,1441.6570587158203,4700,1,0.29374999999999996,1106.5940399169922,4700,1,0.29374999999999996,2304.879135131836,4700,1,0.29374999999999996,1547.0840148925781,4700,1,0.29374999999999996,2126.2481384277344,4700,1,0.29374999999999996,1490.077621459961,4700,1,0.29374999999999996,1403.5742645263672,4700,1,0.29374999999999996,1881.196060180664,4700,1,0.29374999999999996,1639.2239990234375,4700,1,0.29374999999999996,1677.0303497314453,4700,1,0.29374999999999996,1690.0191040039063,4700,1,0.29374999999999996,1384.1965789794922,4700,1,0.29374999999999996,2926625.967391968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707861092,1441.65869140625,4700,1,0.30000000000000004,1106.6094970703125,4700,1,0.30000000000000004,2304.8841247558594,4700,1,0.30000000000000004,1547.085708618164,4700,1,0.30000000000000004,2126.2496948242188,4700,1,0.30000000000000004,1490.079345703125,4700,1,0.30000000000000004,1403.5765075683594,4700,1,0.30000000000000004,1881.1981658935547,4700,1,0.30000000000000004,1639.2259674072266,4700,1,0.30000000000000004,1677.03173828125,4700,1,0.30000000000000004,1690.0203399658203,4700,1,0.30000000000000004,1384.198226928711,4700,1,0.30000000000000004,2926628.283065796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707861192,1441.6597290039063,4700,1,0.29374999999999996,1106.6251525878906,4700,1,0.29374999999999996,2304.885726928711,4700,1,0.29374999999999996,1547.0910949707031,4700,1,0.29374999999999996,2126.2518157958984,4700,1,0.29374999999999996,1490.080337524414,4700,1,0.29374999999999996,1403.5774993896484,4700,1,0.29374999999999996,1881.1991577148438,4700,1,0.29374999999999996,1639.226577758789,4700,1,0.29374999999999996,1677.0322723388672,4700,1,0.29374999999999996,1690.0208740234375,4700,1,0.29374999999999996,1384.1988067626953,4700,1,0.29374999999999996,2926630.4154052734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707861292,1441.6607971191406,4700,1,0.30000000000000004,1106.6507415771484,4700,1,0.30000000000000004,2304.8869018554688,4700,1,0.30000000000000004,1547.0921173095703,4700,1,0.30000000000000004,2126.2528381347656,4700,1,0.30000000000000004,1490.0867309570313,4700,1,0.30000000000000004,1403.5785217285156,4700,1,0.30000000000000004,1881.2018432617188,4700,1,0.30000000000000004,1639.2274322509766,4700,1,0.30000000000000004,1677.0327911376953,4700,1,0.30000000000000004,1690.0213928222656,4700,1,0.30000000000000004,1384.1993103027344,4700,1,0.30000000000000004,2926632.5536956787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707861393,1441.6619262695313,4700,1,0.30000000000000004,1106.6672668457031,4700,1,0.30000000000000004,2304.8929901123047,4700,1,0.30000000000000004,1547.0931243896484,4700,1,0.30000000000000004,2126.2538452148438,4700,1,0.30000000000000004,1490.0877838134766,4700,1,0.30000000000000004,1403.580581665039,4700,1,0.30000000000000004,1881.2032318115234,4700,1,0.30000000000000004,1639.2282257080078,4700,1,0.30000000000000004,1677.0333404541016,4700,1,0.30000000000000004,1690.0236358642578,4700,1,0.30000000000000004,1384.2010955810547,4700,1,0.30000000000000004,2926634.6505584717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707861493,1441.6634674072266,4700,1,0.30000000000000004,1106.6875,4700,1,0.30000000000000004,2304.920639038086,4700,1,0.30000000000000004,1547.0951843261719,4700,1,0.30000000000000004,2126.2575073242188,4700,1,0.30000000000000004,1490.0900268554688,4700,1,0.30000000000000004,1403.5825653076172,4700,1,0.30000000000000004,1881.206771850586,4700,1,0.30000000000000004,1639.2322540283203,4700,1,0.30000000000000004,1677.0357208251953,4700,1,0.30000000000000004,1690.024398803711,4700,1,0.30000000000000004,1384.2027740478516,4700,1,0.30000000000000004,2926636.906524658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
99,1697707861593,1441.664321899414,4700,1,0.29374999999999996,1106.7042236328125,4700,1,0.30000000000000004,2304.9219818115234,4700,1,0.30000000000000004,1547.0960235595703,4700,1,0.29374999999999996,2126.258331298828,4700,1,0.29374999999999996,1490.0908508300781,4700,1,0.29374999999999996,1403.5833587646484,4700,1,0.29374999999999996,1881.2076110839844,4700,1,0.30000000000000004,1639.2328033447266,4700,1,0.30000000000000004,1677.0361785888672,4700,1,0.30000000000000004,1690.0248413085938,4700,1,0.30000000000000004,1384.2032318115234,4700,1,0.30000000000000004,2926638.8985290527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66481061888,2147479552,6315163648,0
