Delta,Time,CORE0_ENERGY (J),CORE0_FREQ (MHZ),CORE0_PSTATE,CORE0_VOLT (V),CPU_ENERGY (J),CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1697704417402,2303.2593994140625,2600,0,1,27375.595016479492,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4351168512,0
101,1697704417402,2303.271255493164,4250,0,1.33125,27375.650802612305,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4358258688,0
97,1697704417515,2303.294708251953,3525,0,1.0125000000000002,27376.233154296875,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4355862528,0
110,1697704417613,2295.674118041992,3525,0,1.0375,27376.634674072266,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4355477504,0
109,1697704417724,2303.364990234375,3525,0,1.0125000000000002,27377.046493530273,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4355100672,0
108,1697704417835,2303.404754638672,3525,0,1.0375,27377.507553100586,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4354695168,0
110,1697704417944,1985.368637084961,3525,0,1.0125000000000002,27378.012908935547,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4354318336,0
110,1697704418054,2303.462417602539,3525,0,1.0125000000000002,27378.420028686523,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4353916928,0
110,1697704418165,1985.3968048095703,3525,0,1.0125000000000002,27378.848861694336,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4353523712,0
110,1697704418276,2303.5003204345703,3525,0,1.0125000000000002,27379.252731323242,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4353069056,0
109,1697704418387,2303.544219970703,3525,0,1.0375,27379.73878479004,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4352663552,0
108,1697704418497,2303.5586853027344,3525,0,1.0125000000000002,27380.224670410156,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4352311296,0
109,1697704418606,2303.574935913086,3525,0,1.0125000000000002,27380.60725402832,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4351918080,0
109,1697704418716,2303.6080627441406,3525,0,1.0125000000000002,27381.09358215332,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4351512576,0
110,1697704418826,2303.6346435546875,3525,0,1.0125000000000002,27381.544799804688,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4351135744,0
109,1697704418936,1896.3165283203125,3525,0,1.01875,27382.078033447266,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4350705664,0
108,1697704419046,2303.6841583251953,3525,0,1.0125000000000002,27382.58479309082,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4350734336,0
110,1697704419155,2303.7061767578125,3525,0,1.0125000000000002,27383.00909423828,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4350406656,0
108,1697704419266,1985.4652404785156,3525,0,1.0375,27383.43782043457,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4350062592,0
110,1697704419374,2303.7646484375,3525,0,1.0125000000000002,27383.868438720703,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4350046208,0
108,1697704419486,1907.3819885253906,3525,0,1.00625,27384.30421447754,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4349394944,0
110,1697704419595,2303.814682006836,3525,0,1.0125000000000002,27384.770629882813,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4349722624,0
110,1697704419705,2303.8304901123047,3525,0,1.0125000000000002,27385.15496826172,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4349808640,0
111,1697704419816,2303.867919921875,3525,0,1.0375,27385.604751586914,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4349661184,0
107,1697704419928,2304.0054626464844,3900,0,1.16875,27386.966110229492,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4355379200,0
108,1697704420036,2076.560806274414,3525,0,1.03125,27388.343505859375,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4355100672,0
108,1697704420144,2296.046875,3525,0,1.0375,27388.854080200195,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4355743744,0
109,1697704420253,2304.146270751953,3525,0,1.0125000000000002,27389.37728881836,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4356136960,0
108,1697704420363,2304.1575317382813,3525,0,1.0125000000000002,27389.83348083496,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4357218304,0
110,1697704420472,2076.6827545166016,3525,0,1.03125,27390.28550720215,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4357681152,0
107,1697704420583,2304.1976928710938,3525,0,1.0375,27390.782913208008,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4357771264,0
110,1697704420690,2304.2301330566406,3525,0,1.0125000000000002,27391.411590576172,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4363239424,0
108,1697704420801,2304.2495727539063,3525,0,1.0375,27391.8582611084,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4362862592,0
110,1697704420910,2304.264358520508,3525,0,1.0375,27392.333114624023,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4362231808,0
109,1697704421021,1985.7107391357422,3525,0,1.0125000000000002,27392.80059814453,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4358144000,0
109,1697704421130,2304.310256958008,3525,0,1.0125000000000002,27393.23649597168,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4357746688,0
109,1697704421240,2296.1524658203125,3525,0,1.0375,27393.713256835938,0,0,0,0,0,0,0,0,0,0,0,0,100,100,100,100,100,100,100,100,100,100,100,100,8434814976,5905580032,4357353472,0
